taxon_name,eco_group
Cistus undiff.,HERB
Cistus-type,TRSH
Cistus-type,HERB
Cistus-type undiff.,TRSH
Cistus albidus-type,TRSH
Cistus albidus-type,HERB
Cistus incanus type,TRSH
Cistus incanus-type,HERB
Cistus villosus-type,HERB
Cistus ladanifer,TRSH
Cistus ladanifer,HERB
Cistus ladanifer-type,HERB
Cistus ladanifer-type,TRSH
Cistus ladanifer/populifolius types,TRSH
Cistus populifolius-type,HERB
Cistus monspeliensis,TRSH
Cistus monspeliensis,HERB
Cistus monspeliensis t.,TRSH
Cistus monspeliensis type,TRSH
Cistus monspeliensis-type,HERB
Cistus salvifolius,TRSH
Cistus salvifolius,HERB
Cistus salviifolius-type,TRSH
Helianthemum,TRSH
cf Citrillus,HERB
Citrus,TRSH
Cladium,AQUA
Cladium cf,AQUA
Cladium mariscus,AQUA
Cladocera,MICR
Clathrulina elegans,RHIZ
Claytonia,HERB
Claytonia acutifolia,HERB
Claytonia undiff.,HERB
Clematis,TRSH
Clematis vitalba-group,TRSH
Clematis-group,TRSH
Clematis-type,TRSH
Clethra,TRSH
Closterium,NOPO
Coelastrum,ALGA
Coelastrum reticulatum,CHLO
Coelastrum reticulatum,ALGA
Colchicum,HERB
Colchicum autumnale-type,HERB
Colchicum-type,HERB
Colchicum/Merendera,HERB
Colutea,TRSH
Colutea arborescens,TRSH
Comandra elegans,HERB
Concentration charcoal,CHAR
Concentrazione carbone tot (Part/cm3),CHAR
Concentration of Lycopodium,NOPO
Lycopodium (concentration),NOPO
Exotic,NOPO
Concentration of spike,NOPO
Concentration pollen,NOPO
Concentrazione pollinica (gran/cm3),NOPO
Pollen concentration,NOPO
Concentration spikes,NOPO
Coniochaeta cf. C. ligniairia,FUNG
Coniochaeta cf. C. ligniaria,FUNG
Coniochaeta lignaria,FUNG
Conium maculatum,HERB
Conium t.,HERB
Conopodium,HERB
Conopodium majus,HERB
Consolida ambigua-type,HERB
Consolida-type,HERB
Delphinium,HERB
Delphinium-type,HERB
Delphiunium elatum,HERB
Convallaria-type,HERB
Narcissus,HERB
Narcissus pseudonarcissus-type,HERB
CONVOLVULACEAE,HERB
Convol-eae,HERB
Convolvulaceae,HERB
Convolvulaceae,HERB
Convolvulaceae undiff.,HERB
Conv._ar-s,HERB
Convolvulus,HERB
Convolvulus arvensis,HERB
Convolvulus sp.,HERB
Convolvulus arvensis,HERB
Convolvulus arvensis-type,HERB
Copepoda,MICR
Corema album-type,HERB
Coriaria,TRSH
Coriaria myrtifolia,TRSH
CORNUS,TRSH
Cornaceae,TRSH
Cornus,TRSH
Cornus-type,TRSH
Cornus mas,TRSH
Cornus mas/C. suecica,TRSH
Cornus suecica/C. mas,TRSH
Cornus sanguinea,TRSH
Cornus sanquinea,TRSH
Cornus sericea subsp. sericea,TRSH
Cornus suecica,TRSH
Cornus suecica type,TRSH
Coronilla,HERB
Fabaceae coronilla type,HERB
Hippocrepis comosa,HERB
Hippocrepis-type,HERB
Corrigiola,HERB
Corydalis,HERB
Corydalis bracteata,HERB
Corylopsis,TRSH
CORYLUS,TRSH
Corylus,TRSH
Corylus avellana,TRSH
Corylus avellana-type,TRSH
Corylus maxima,TRSH
Corylus type,TRSH
Coryloid,TRSH
Coryloid-type,TRSH
Corylus-type,TRSH
Corylus/Myrica,TRSH
Cosmarium,ALGA
Cotinus,TRSH
Cotinus coggyria,TRSH
Cotynus coggyria,TRSH
Cotoneaster,TRSH
Cotoneaster-type,TRSH
Counted exote,NOPO
Cousinia,HERB
Cousinia t.,HERB
Crassula,HERB
Crassulaceae,HERB
Crassulaceae undiff.,HERB
cf. Crassulaceae,HERB
CRATAEGUS,TRSH
Crataegus,TRSH
Crategus,TRSH
t. CRATAEGUS,TRSH
Cichorium,HERB
Cichorium intybus type,HERB
Cichorium intybus-type,HERB
Cichorium-type,HERB
Crepis,HERB
Crepis aurea,HERB
Crepis-type,HERB
Hieracium,HERB
Hieracium-type,HERB
Leontodon helveticus,HERB
Taraxacum,HERB
Taraxacum type,HERB
Taraxacum-type,HERB
Crocus,HERB
Cryptogramma,VACR
Cryptogramma crispa,VACR
Cryptomeria japonica,TRSH
Cryptomeria,TRSH
Cryptomeria-type,TRSH
Cucumis,HERB
Cucumis,LIAN
Actinostemma-Gynostemma,HERB
Cucurbitaceae,HERB
CUPRESSACEAE,TRSH
Cupressaceae,TRSH
Cuscuta,LIAN
Cuscuta,HERB
Cuscuta europaea T,HERB
Cuscuta europaea-type,HERB
Cuscuta europaea-type,LIAN
Oscillatoria,CYAN
CYCLAMEN,HERB
Cyclamen,HERB
Cyclamen hederifolium,HERB
Cymatiosphaera globulosa,ACRI
Cynoglossum creticum,HERB
Cynoglossum tp.,HERB
Cynomorium,HERB
CYPERACEAE,HERB
CYPERACEAE/JUNCACEAE,HERB
Cyperaceae,HERB
Cyperaceae,AQUA
Cyperaceae class 1,HERB
Cyperaceae class 2,HERB
Cyperaceae class 3,HERB
Cyperaceae class 4,HERB
Cyperaceae undiff,HERB
Cyperaceae undiff.,HERB
Cyperaceae undiff.,AQUA
Cyperus,HELO
Cyperus,AQUA
Cyperus longus-type,AQUA
Cyperus-type,AQUA
CYSTOPTERIS,VACR
Cystopteris,VACR
Cystopteris-type,VACR
Cysto._f-s,VACR
Cystopteris fragilis,VACR
Cytinus hypocistis-type,HERB
Cytisus type,TRSH
Cytisus-type,TRSH
Daphne,TRSH
Daphne,DWAR
Daphne gnidium,HERB
Daphne gnidium t.,TRSH
Daphne gnidium-type,DWAR
Daphne type,TRSH
Datisca,HERB
Datura,HERB
Daucus,HERB
Daucus carota,HERB
Daucus carota-type,HERB
Daucus t.,HERB
Davallia,VACR
Debarya,FUNG
Deciduous tree: seed,MACR
Type UG 1066 Delitschia spp.,FUNG
Deposition time (yr/cm),NOPO
Desmidiaceae,ALGA
Dianthus,HERB
Dianthus superbus-type,HERB
Dianthus-type,HERB
Diatoms,ALGA
Dicranum,BRYO
Difflugia pyriformis,RHIZ
Digitalis,HERB
Digitalis purpurea-type,HERB
Digitalis-type,HERB
Dinoflagellate (theca),DINO
Dinoflagellates,DINO
Diospyros,TRSH
Diospyros clumps,TRSH
Diporotheca,FUNG
Type 143: Asc. of Diporotheca,FUNG
DIPSACACEAE,HERB
Dipsacaceae,HERB
Dipsacaceae indet.,HERB
Dipsacaceae undiff.,HERB
Dipsacus fullonum-type,HERB
Dipsacus,HERB
Dipsacus-type,HERB
Doronicum,HERB
Doronicum-type,HERB
Drosera,AQUA
Drosera,HERB
Drosera cf. D. rotundifolia,HERB
Drosera undif.,AQUA
Droseraceae,AQUA
Drosera intermedia,HELO
Drosera rotundifolia,HERB
Drosera rotundifolia,HELO
Drosera rotundifolia-type,HERB
Drosera rotundifolia-type,HELO
Drosera rotundifolia/D. anglica,HERB
Dryas,HERB
Dryas octopetala,HERB
Rosaceae Dryas,HERB
Dry-s_c-a,VACR
Dry-s_sp-a,VACR
Dryopteris carthusiana,VACR
Dryopteris carthusiana-type,VACR
Dryopteris cristata,VACR
Dryopteris cristata type,VACR
Dryopteris dilatata,VACR
Dryopteris dilatata-type,VACR
Dryopteris dilitata,VACR
Dryopteris expansa,VACR
Dry-s_f.-m,VACR
Dryopteris filix mas t.,VACR
Dryopteris filix-mas,VACR
Dryopteris filix-mas type,VACR
Dryopteris filix-mas type clumps of two,VACR
Dryopteris filix-mas-type,VACR
Dryopteris fragrans,VACR
DRYOPTERIS,VACR
Dry-s,VACR
Dryopteris,VACR
Dryopteris dilatata/cristata t.,VACR
Dryopteris f.-m.,VACR
Dryopteris t.,VACR
Dryopteris type,VACR
Dryopteris undiff.,VACR
Dryopteris-type,VACR
Dryopteris/Thelypteris,VACR
DryopterisT,VACR
Dryópteris,VACR
EMA 6,INUN
EMA 9,INUN
EMA6,INUN
Asteraceae. Echinops,HERB
Echinops,HERB
Echium,HERB
Echium vulgare,HERB
Echium vulgare-type,HERB
Echium-type,HERB
Onosma-type,HERB
Eggs,INUN
Elaeagnaceae,TRSH
Eleaegnaceae,TRSH
Elaeagnus,TRSH
Elaeagnus angustifolia,TRSH
Elaeagnus t.,TRSH
Elater,MACR
Elatine,AQUA
Eleocharis palustris,AQUA
Elodea,AQUA
Emex spinosa,HERB
EMPETRUM NIGRUM,DWAR
Empetrum,DWAR
Empetrum cf. E. nigrum,DWAR
Empetrum nigrum,DWAR
Empetrum nigrum-type,DWAR
Empetrum-group,DWAR
Emphetrum nigrum,DWAR
Ericaceae empetrum-type,DWAR
Empetrum-type,DWAR
Empetrum/Ledum,DWAR
Ledum,DWAR
Ledum-type,DWAR
Encalypta,BRYO
Ephedra,TRSH
Ephedra fragilis,TRSH
Ephedra-type,HERB
cf. Ephedra fragilis,INUN
E. alata-type,TRSH
Ephedra alata-type,TRSH
EPHEDRA DISTACHYA type,TRSH
Ephedra distachya,TRSH
Ephedra distachya t.,TRSH
Ephedra distachya type,TRSH
Ephedra distachya-t.,TRSH
Ephedra distachya-type,TRSH
Ephedra distahia,TRSH
Ephedra dystachia type,TRSH
Ephedra major,TRSH
Ephedra major-type,TRSH
E. fragilis-t.,TRSH
EPHEDRA FRAGILIS type,TRSH
Ephedra fragilis,TRSH
Ephedra fragilis  type,TRSH
Ephedra fragilis subsp. campylopoda,TRSH
Ephedra fragilis t.,TRSH
Ephedra fragilis type,TRSH
Ephedra fragilis-type,TRSH
Ephedra fragilisse,TRSH
Chamaenerion,HERB
Chamenerion,HERB
Epilobium,HERB
Epilobium type,HERB
Epilobium undiff.,HERB
Epilobium-type,HERB
Chamaenerion angustifolium,HERB
Chamerion angustifolium subsp. Angustifolium,HERB
EPILOBIUM angustif.,HERB
Epipactis palustris,HERB
EQUISETUM,VACR
Equesetum,VACR
Equisetaceae,VACR
Equisetum,VACR
Equisitum,VACR
Eremurus,HERB
ERICA indiff.,TRSH
Erica,TRSH
Erica,DWAR
Erica cinerea/E. tetralix,TRSH
Erica type,TRSH
Erica undiff.,DWAR
Erica-type,TRSH
ERICA arborea,TRSH
Erica arborea,TRSH
Erica arborea,DWAR
Erica arborea-type,DWAR
Erica arborea-type,TRSH
Erica lusitanica,DWAR
Erica lusitanica-type,TRSH
Erica scoparia t.,TRSH
Erica scoparia-type,DWAR
ERICA carnea,TRSH
Cassiope,DWAR
Cassiope-type,DWAR
Chamaedaphne,DWAR
Erica australis,DWAR
Erica australis-type,DWAR
Erica erigena-type,TRSH
Erica cinerea,DWAR
Erica cinerea-type,TRSH
Erica tetralix,DWAR
Erica tetralix type,DWAR
Erica tetralix-type,DWAR
Erica umbellata,DWAR
Erica umbellata-type,DWAR
Erica: seed,MACR
Calluna-type,DWAR
ERICACEAE,DWAR
ERICACEAE indiff.,DWAR
ERICALES,DWAR
Ericaceae,DWAR
Ericaceae B,TRSH
Ericaceae cf. Ledum,TRSH
Ericaceae sensu lato,DWAR
Ericaceae undiff.,DWAR
Ericaceae undifferentiated,DWAR
Ericaceae-type,DWAR
Ericaceae__1,DWAR
Ericales,DWAR
Ericales (tetrad),DWAR
Ericales undiff.,DWAR
Rhododendron ? 22 TE,DWAR
Vacci-eae,DWAR
Vacciniaceae,DWAR
cf. Arbutus,INUN
cf. Cassiope,INUN
ricales,DWAR
Eriophorum angustifolium/E. vaginatum,AQUA
Eriophorum-type,HELO
Eriophorum-type,AQUA
Erodium,HERB
cf Erodium,HERB
"Apiaceae, Eryngium",HERB
Eryngium,HERB
Eryngium campestre-type,HERB
Eryngium ilicifolium,HERB
Eryngium t.,HERB
Encalyptus,TRSH
Eucalyptus,TRSH
Eucalyptus (grains/g of tablet),NOPO
Eucalyptus spike (added),NOPO
Eucalyptus,NOPO
Eucalyptus (spike),NOPO
Eucalyptus count,NOPO
Eucalyptus spike (counted),NOPO
Eucalyptus tablets,NOPO
Euglypha,RHIZ
Euonymus,TRSH
EUPHORBIA,HERB
Euphorbia,HERB
Euphorbia type,HERB
Euphorbia/Mercurialis,HERB
Euphor-eae,HERB
Euphorbiaceae,HERB
Euphorbiaceae undiff.,HERB
Euphrasia,HERB
Euptelea,HERB
Exotic concentration,NOPO
Exotic grains,NOPO
added Exototic marker,NOPO
exot added,NOPO
Exotic,NOPO
Exotic counted,NOPO
Exotics (counted),NOPO
counted Exotic marker,NOPO
exot counted,NOPO
FABACEAE,HERB
Fabaceaa,HERB
Fabaceae,INUN
Fabaceae,HERB
Fabaceae cf. Oxitropis,HERB
Fabaceae p.p.,HERB
Fabaceae pro parte,INUN
Fabaceae subf. Faboideae,HERB
Fabaceae tribe Psoraleae,HERB
Fabaceaeundiff.,HERB
LEGUMINOSAE,HERB
Leguminosae,HERB
Leguminosae undiff.,HERB
Papilionaceae,HERB
Paplionaceae,HERB
Vicia-type,HERB
Fabaceae indet.,HERB
Fabaceae undif.,HERB
Fabaceae undiff.,HERB
Fabaceae undiff.,INUN
Fabaceae undiff. type,HERB
Castanea-Castanopsis,TRSH
Castanea/Castanopsis,TRSH
Castanopsis-Castanea,TRSH
Castanopsis-Pasania,TRSH
Fagopirum,HERB
Fagopyrum,HERB
Fagopyrum esculentum-type,HERB
Fagopyrum esculentum,HERB
Fagopyrum tataricum,HERB
FAGUS,TRSH
Fagus,TRSH
Fagus clumps,TRSH
Fagus clumps of two,TRSH
Fagus crenata type,TRSH
Fagus japonica type,TRSH
Fagus orientalis,TRSH
Fagus syl,TRSH
Fagus sylvatica,TRSH
Anethum-type,HERB
Falcaria,HERB
Falcaria vulgaris-type,HERB
Falcaria-type,HERB
Bilderdykia convolvulus,HERB
Bilderdykia convolvulus-type,HERB
Bilderdykia convolvulus/B. dumetorum,HERB
Fallopia,HERB
Fallopia convolvulus,HERB
Fallopia convolvulus-type,HERB
Polygonum convolvulus,HERB
Polygonum convolvulus-type,HERB
Ficus,TRSH
Ficus carica,TRSH
Filinia,NOPO
Filinia,ROTI
FILIPENDULA,HERB
Fili-dula,HERB
Filipendula,HERB
Filipendula ulmaria,HERB
Filipendula vulgaris,HERB
Filipendula-type,HERB
cf. Filipendula,HERB
Securinega tinctoria-type,TRSH
Fontanesia,TRSH
Foram,INVE
Foraminifera,INVE
Foraminifera,NOPO
foraminiferal linings,INVE
Forsythia europea type,TRSH
Fothergilla major,HERB
Frangula,TRSH
Frangula alnus,TRSH
Rhamnus frangula,TRSH
Frankenia,HERB
Frankenia hirsuta-type,HERB
FRAXINUS,TRSH
Fraxinus,TRSH
Fraxinus undiff.,TRSH
Fraxinus angustifolia,TRSH
Fraxinus angustifolia subsp. oxycarpa,TRSH
Fraxinus angustifolia-type,TRSH
Fraxinus cf. F. oxycarpa,TRSH
F. excelsior,TRSH
Fraxinus exc. type,TRSH
Fraxinus excelsior,TRSH
Fraxinus excelsior  type,TRSH
Fraxinus excelsior type,TRSH
Fraxinus excelsior-t.,TRSH
Fraxinus excelsior-type,TRSH
F. ornus,TRSH
FRAXINUS ORNUS t.,TRSH
FRAXINUS ORNUS type,TRSH
Fraxinus cf. F. ornus,TRSH
Fraxinus ornus,TRSH
Fraxinus ornus type,TRSH
Fraxinus ornus-type,TRSH
Fraxinusornus,TRSH
Fraxinus sogdiana,TRSH
Fritillaria,HERB
Fritillaria lusitanica,HERB
Fumana,TRSH
Fumaria,HERB
Fumaria officinalis-type,HERB
Fumariaceae,HERB
Fungal Hyphae,FUNG
Hiphae,FUNG
Hyphopodium,FUNG
Fungal spore undet.,FUNG
Fungal spores,FUNG
Fungal spores,VACR
cf. Ustulina deusta,FUNG
Asterosporium,FUNG
Delitschia,FUNG
Fungi,FUNG
Geumannomyces,FUNG
Gaeumannomyces cf. G. caricis,FUNG
Gaeumannomyces cf. caricis,FUNG
Galega-type,HERB
Galeopsis,HERB
Galeopsis t.,HERB
Galeopsis-type,HERB
Stachys,HERB
Stachys sylvatica type,HERB
Stachys sylvatica-type,HERB
Stachys sylvestris,HERB
Stachys type,HERB
Stachys-type,HERB
Stahhys sylvatica type,HERB
Galeopsis/Ballota-type,HERB
Stachys (Galeopsis - Ballota - Gruppe),HERB
Gal._ul-um,HERB
Gelasinospora,FUNG
Genisteae,TRSH
Calycotome,TRSH
Cytisus,TRSH
Cytisus/Genista-type,HERB
Cytisus/Genista-type,TRSH
Fabaceae genista type,TRSH
Genista,TRSH
Genista t.,TRSH
Genista-type,TRSH
Genista/Cytisus,HERB
Genista/Cytisus-type,TRSH
Genista/Ulex,TRSH
Genista/Ulex-type,TRSH
Sarothamnus scoparius,TRSH
Ulex,TRSH
Ulex type,TRSH
Ulex-type,TRSH
Ulex/Cytisus-type,TRSH
Gentiana,HERB
Gentiana indet.,HERB
Gentiana lutea/G. pneumonanthe,HERB
Gentiana nivalis-type,HERB
Gentiana pneumonanthe,HERB
Gentiana pneumonanthe t.,HERB
Gentiana pneumonanthe type,HERB
Gentiana pneumonanthe-type,HERB
Gentiana purpurea-type,HERB
Gentiana purpurea,HERB
Gentiana verna-type,HERB
Gentianaceae,HERB
Gentinaceae,HERB
cf. Centaurium,INUN
cf. Gentiana,HERB
Gentianella,HERB
Gentianella campestris-type,HERB
Gentianella germanica typt,HERB
Gentianella germanica-type,HERB
Gentianella tenella-type,HERB
Geran-eae,HERB
Geraniaceae,HERB
Geraniaceae undiff.,HERB
Gerianiaceae,HERB
GERANIUM,HERB
Geranium,HERB
Geranium t.,HERB
Geranium-type,HERB
Geranium sylvaticum-type,HERB
Gerianiaceae,HERB
GEUM,HERB
Galium typ,HERB
Geum,HERB
Geum T,HERB
Geum cf. G. rivale,HERB
Geum typ,HERB
Geum type,HERB
Geum-type,HERB
Gladiolus,HERB
Glaucium,HERB
Glaucium type,HERB
Glaucium-type,HERB
Glaux,HERB
Globularia,HERB
Gloeotrichia,CYAN
GLOMUS,FUNG
Glomus,FUNG
Glomus cf. G. fasciculatum,FUNG
Glomus cf. fasciculatum,FUNG
Type 207 Glomus cf. Fasciculatum,FUNG
Erigeron,HERB
Evax,HERB
Filago-type,HERB
Gnaphalium,HERB
Gnaphalium-type,HERB
Grammitis,VACR
Gratiola officinalis,HERB
GYMNOCARPIUM DRYOPTERIS,VACR
Gymnocarpium,VACR
Gymnocarpium dryopteris,VACR
Gymnocarpium dryopteris type,VACR
Gymnocarpium/Dryopteris,VACR
Gipsofilla,HERB
Gypsophila,HERB
Gypsophila fastigiata,HERB
Gypsophila repens-type,HERB
Gypsophila-type,HERB
Gypsophilla repens,HERB
Gyratrix hermaphroditus,PLAT
Gyratrix hermaphroditus 1A,PLAT
Halimium,DWAR
Halimium-type,DWAR
Halimium/Tuberaria,HERB
Haloragaceae,UPHE
Haplophyllum,HERB
Haplophyllum,TRSH
HdV 114,INUN
HdV 126 G,INUN
HdV 126 Gaeumannomyces,FUNG
HdV 126 Gaeumannomyces sp.,FUNG
HdV 128,INUN
HdV 128A,INUN
HdV 128B,INUN
HdV 130 G,INUN
HdV 130 Spirogyra smooth,ALGA
HdV 142,INUN
HdV 146 Gloeotrichia,INUN
HdV 170 Rivularia,ALGA
HdV 179,INUN
HdV 200,FUNG
HdV 207 Glomus cf. fasciculatum,INUN
HdV 229,INUN
HdV 28,FUNG
HdV 30 Helicoon pluriseptatum,FUNG
HdV 313D Mougeotia concave,INUN
HdV 359,INUN
HdV 361,INUN
HdV 361 clumps,INUN
"HdV 369 ""Lemna""",INUN
HdV 37,FUNG
HdV 44 Ustulina deusta,INUN
HdV 569,INUN
HdV 569 clumps,INUN
HdV 8B,INUN
HdV 8B,FUNG
HEDERA,TRSH
Hedera,LIAN
Hedera,TRSH
Hedera helix,LIAN
Hedera helix,TRSH
Hedera helix type,TRSH
Hedera-type,LIAN
Hedera-type,TRSH
Hederahelix,TRSH
Hedwigia,BRYO
Hedysarum,HERB
Hedysarum hedysaroides,HERB
Helianthemum,HERB
Helianthemum salicifolium-type,HERB
Helianthemum t.,HERB
Helianthemum type,HERB
Helianthemum undiff.,HERB
Helianthemum-type,HERB
Helianthetum,HERB
t.HELIANTHEMUM,HERB
Helianthemum croceum type,HERB
Helianthemum croceum-type,HERB
Helianthemum nummularium group,HERB
Helianthemum nummularium-type,HERB
Asteraceae Helianthus type,HERB
Helianthus,HERB
Helianthus-type,HERB
Helicoma,FUNG
Helicoon klein,FUNG
Helicoon pluriseptatum,FUNG
Heliotropium,HERB
Heliotropium-type,HERB
Helleborus,HERB
Helleborus undiff.,HERB
Helleborus viriolist,HERB
Helleborus-type,HERB
Helleborus foetidus,HERB
Helleborus niger,HERB
Helleborus viridis,HERB
Helleborus viridis-type,HERB
Hepatica,HERB
Hepaticae,BRYO
Hepaticae undiff.,BRYO
Hepaticeae,BRYO
"Apiaceae, Heracleum",HERB
Heracleum,HERB
Heracleum-type,HERB
Heracleum sphondyleum,HERB
Heracleum sphondylium,HERB
Herbs,UPHE
Herniaria,HERB
Herniaria glabra,HERB
Caryophyllaceae herniaria type,HERB
Herniaria-type,HERB
Herniaria/Paronychia,HERB
Hexarthra,ROTI
Hibiscus,TRSH
Hippophae,TRSH
Hippophae rhamn.,TRSH
Hippophae rhamnoides,TRSH
Hippophaë rhamnoides,TRSH
Hipp._v.,AQUA
Hippuris vulgaris,AQUA
Homogyne,HERB
Homogyne alpina,HERB
Cerealia/Hordeum-type,HERB
Elymus,HERB
Glyceria maxima,HERB
Glyceria-type,HERB
Hordeum,HERB
Hordeum T,HERB
Hordeum group,HERB
Hordeum type,HERB
Hordeum-group,HERB
Hordeum-type,HERB
Capsella,HERB
Capsella bursa-pastoris-type,HERB
Hordeum typ,HERB
Hornungia,HERB
Hornungia type,HERB
Hornungia-type,HERB
Hot._pal.,HERB
Hottonia,HERB
Hottonia palustris,AQUA
Hottonia palustris-type,AQUA
Hottonia-type,HERB
Humulus,HERB
Humulus lupulus,HERB
Humulus lupulus cf.,HERB
Humulus lupulus type,HERB
Humulus typ,HERB
Cannabaceae,HERB
Cannabaceae-type,HERB
Cannabis t.,HERB
Cannabis type,HERB
Cannabis-type,HERB
Cannabis/Humulus,HERB
Cannabis/Humulus-type,HERB
Humulus lupulus type,HERB
Humulus lupulus-type,HERB
Humulus lupulus/Cannabis,HERB
Humulus-type,HERB
Humulus/Cannabis,HERB
Humulus/Cannabis-type,HERB
cf. Cannabis,HERB
cf. Cannabis sativa,INUN
cf. Humulus,INUN
cf. Humulus lupulus,HERB
cf. Humulus lupulus,INUN
Humulus/Cannabis sativa,UPHE
Hupertia,VACR
Huperzia,VACR
Huperzia appressum,VACR
Huperzia selago,VACR
Huperzia selago-type,VACR
Lyc._appressum,VACR
Lyc._selago,VACR
Lycopodium appressum,VACR
Lycopodium selago,VACR
Hyalosphenia sp.,RHIZ
Hyalosphenia subflava,RHIZ
Hydrangea,TRSH
Hyd._m.-r.,AQUA
Hydrocharis,AQUA
Hydrocharis morsus-ranae,AQUA
Hyd-eae,AQUA
Hydrocharitaceae,AQUA
Hydrocotyle,HERB
Hydrocotyle,HERB
Hydrocotyle vulgaris,HERB
Hydrocotyle vulgaris,HERB
HYMENOPHYLLUM,VACR
Hymenophyllum,VACR
Hymenophyllum tunbrigense,VACR
Hymenophyllum wilsonii,VACR
Hyoscyamus,HERB
Hyoscyamus t.,HERB
Hypecoum,HERB
Guttiferae,TRSH
Guttiferae,HERB
Hipericum type,HERB
Hypericaceae,HERB
Hypericum,HERB
Hypericum type,HERB
Hypericum undifferentiated,HERB
Hypericum-type,HERB
Hypericum perforatum T,HERB
Hypericum perforatum type,HERB
Hypericum perforatum-type,HERB
Hypericum perforatume-type,HERB
Hypericum pulchrum-type,HERB
Hystrix,HERB
ILEX aquifolium,TRSH
Ilex,TRSH
Ilex aquifolium,TRSH
Ilex type,TRSH
Ilex-type,TRSH
Illecebrum,HERB
Illecebrum verticillatum,HERB
Impagidinium,DINO
Balsaminaceae,HERB
Impatiens,HERB
Impatiens t.,HERB
Varia,INUN
Indet: broken,INUN
Indeterminable: broken,INUN
"Pollen, broken",INUN
Xbroken,INUN
broken,INUN
Indet: concealed,INUN
Indeterminable: concealed,INUN
"Pollen, concealed",INUN
CORRODED POLLEN undeterminable,INUN
Corroded,INUN
Indeterminable: corroded,INUN
"Pollen, corroded",INUN
Xcorroded,INUN
Indeterminable: crumpled,INUN
"Pollen, crumpled",INUN
Xcrumpled,INUN
Degraded,INUN
Indeterminable: degraded,INUN
"Pollen, degraded",INUN
Indeterminable: deteriorated,INUN
Indeterminable: hidden,INUN
Xhidden,INUN
Granuli nd,INUN
Indeterminable: undiff.,INUN
Pollen indeterminata,INUN
indiff,INUN
Adianthum,INUN
Althaenia,INUN
Aquatic remains unidentified,INUN
Aquatics,INUN
Aroos daryaee,INUN
Arthrop. Mandible,INUN
Asclepiadaceae,INUN
Asparagus cf.,INUN
Betula/Carpinus,TRSH
Cardiaceae,NOPO
Carya remaniés,INUN
Cfr Ligustrum,INUN
Cfr Utricularia,INUN
Citrus cf.,INUN
Cornus sanguinea cf.,INUN
Curved parasite,INUN
Damaged/indeterminable,INUN
Echinocaulon-Persicaria,INUN
Ericaceae remaniés,INUN
Fenestrate undifferentiated,INUN
Flamula-type,HERB
Gastrop. Mandible,INUN
Globose,INUN
Grains indéterm,INUN
Halophytes,INUN
HdV 112,INUN
HdV 128B,INUN
HdV 207 Glomus cf. fasciculatum,INUN
HdV 44 Ustulina deusta,INUN
HdV 569,INUN
HdV 8b,INUN
Herbs,INUN
Herbs undiff.,INUN
Ideterminable grains,INUN
"Inaperturate,echinate grain",INUN
Incertae sedis 5b,INUN
Incertae sedis 5d,INUN
Indet.,INUN
Indet. clumps,INUN
Indeterm,INUN
Indetermin,INUN
Indeterminable,INUN
Indeterminable grains,INUN
Indeterminable: unidentified,INUN
Indeterminable: unknown,INUN
Indeterminata,INUN
Indeterminate,INUN
Indeterminated,INUN
Indetermines,INUN
Indiff.,INUN
Indéterminables,INUN
Indéterminés,INUN
Isoetes cf.,INUN
Leg.,INUN
Medicago cf.,INUN
Mercurialis cf.,INUN
Monocot.,INUN
Monocotyledones,INUN
NPPlongfin,INUN
Not determined,INUN
Ostrac. Mandible,INUN
Other herbs,INUN
Other trees,INUN
Other trees and shrubs,INUN
Papaver cf.,INUN
Pericolpat 42 mkm,INUN
Phragmospore undet.,INUN
Pinaceae remaniés,INUN
Pl.acva,INUN
Pollen gen. indet.,INUN
Pollen indeterminata,INUN
Pollen total,INUN
Pollen undiff.,INUN
"Pollen, cf. upland herbs",INUN
"Pollen, terrestrial",INUN
Pyrus/Malus cf.,INUN
Remaniés,INUN
Rhamnus cf.,INUN
Saxifraga cf.,INUN
Senecio cf.,INUN
Sp,INUN
Spermatophyta,INUN
Spores,INUN
Spores,VACR
Spores indefinite,INUN
Spores indeterminata,INUN
Subgenus Lycopodium,INUN
Sum AP,INUN
Total pollen,INUN
Tracheids,INUN
Trees and shrubs,INUN
Type x,INUN
UNKNOWN,INUN
UNKNOWN-POLLEN,INUN
UNKNOWN-POLLEN/SPORES,INUN
Unbestimmbare,INUN
Undefined 3-col.,INUN
Undefined 3-col._3-por.,INUN
Undefined_spores.,INUN
Undeterminable,INUN
Unidentified,INUN
Unknown,INUN
Unknown A,INUN
Unknown B,INUN
Unknown C Iridaceae?,INUN
Unknown D,INUN
Unknown Heterocolporate,INUN
Unknown Large reticulate inaperaturate,INUN
Unknown pollen,INUN
Unknown small tricolporate oblate 16.8M,INUN
Unknown spore,INUN
Unknown spore(s),INUN
Unknown triporae reticulate,INUN
Valeriana cf.,INUN
Varia,INUN
Verbascumcf.,INUN
Xunknown,INUN
cf Plumbago,INUN
cf juncus,INUN
cf. Adonis,INUN
cf. Aerva,INUN
cf. Althaenia,INUN
cf. Anagallis-type,INUN
cf. Capparis,INUN
cf. Castanea,INUN
cf. Casuarina,INUN
cf. Ceratonia,INUN
cf. Cytisus,INUN
cf. Daphne,INUN
cf. Ephedra,INUN
cf. Euphorbia,INUN
cf. Fraxinus,INUN
