taxon_name,eco_group,family_level
Dryopteris cristata type,VACR,delete
Dryopteris dilatata,VACR,delete
Dryopteris dilatata-type,VACR,delete
Dryopteris dilatata/cristata t.,VACR,delete
Dryopteris dilitata,VACR,delete
Dryopteris expansa,VACR,delete
Dryopteris f.-m.,VACR,delete
Dryopteris filix mas t.,VACR,delete
Dryopteris filix-mas,VACR,delete
Dryopteris filix-mas type,VACR,delete
Dryopteris filix-mas type clumps of two,VACR,delete
Dryopteris filix-mas-type,VACR,delete
Dryopteris filix-mas-type (D. filix-mas-T),NA,delete
Dryopteris fragrans,VACR,delete
Dryopteris t.,VACR,delete
Dryopteris type,VACR,delete
Dryopteris undiff.,VACR,delete
Dryopteris-type,VACR,delete
Dryopteris/Thelypteris,VACR,delete
DryopterisT,VACR,delete
Dryópteris,VACR,delete
Duschekia,TRSH,Betulaceae
Duschekia fruticosa= Alnus fruticosa-type,TRSH,Betulaceae
E. alata-type,TRSH,delete
E. fragilis-t.,TRSH,delete
EMA 6,INUN,delete
EMA 9,INUN,delete
EMA-104: Neurospora,FUNG,delete
EMA6,INUN,delete
EMPETRUM NIGRUM,DWAR,Ericaceae
EPHEDRA DISTACHYA type,TRSH,delete
EPHEDRA FRAGILIS type,TRSH,delete
EPILOBIUM angustif.,HERB,Onagraceae
EQUISETUM,VACR,delete
ERICA arborea,TRSH,Ericaceae
ERICA carnea,TRSH,Ericaceae
ERICA indiff.,TRSH,Ericaceae
ERICACEAE,DWAR,Ericaceae
ERICACEAE indiff.,DWAR,Ericaceae
ERICALES,DWAR,Ericaceae
EUPHORBIA,HERB,Euphorbiaceae
Echinocaulon-Persicaria,INUN,Polygonaceae
Echinophora,HERB,Apiaceae
Echinophora-type,HERB,Apiaceae
Echinops,HERB,Asteraceae
Echinops-type,NA,Asteraceae
Echium,HERB,Boraginaceae
Echium vulgare,HERB,Boraginaceae
Echium vulgare-type,HERB,Boraginaceae
Echium-type,HERB,Boraginaceae
Eggs,INUN,delete
Elaeagnaceae,TRSH,Elaeagnaceae
Elaeagnaceae (other),NA,Elaeagnaceae
"Elaeagnaceae, shield hair fragment (Elaeagnacea, shield hair fragm)",NA,delete
Elaeagnus,TRSH,Elaeagnaceae
Elaeagnus (Elaeagnus),NA,Elaeagnaceae
Elaeagnus angustifolia,TRSH,Elaeagnaceae
Elaeagnus t.,TRSH,Elaeagnaceae
Elaeocarpaceae,NA,Elaeocarpaceae
Elater,MACR,delete
Elatine,AQUA,delete
Eleaegnaceae,TRSH,Elaeagnaceae
Eleocharis palustris,AQUA,delete
Elevation of event [m] (Elevation),NA,delete
Elodea,AQUA,delete
Elymus,HERB,Poaceae
Elymus-type,NA,Poaceae
Emex spinosa,HERB,Polygonaceae
Empetrum,DWAR,Ericaceae
Empetrum cf. E. nigrum,DWAR,Ericaceae
Empetrum nigrum,DWAR,Ericaceae
Empetrum nigrum-type,DWAR,Ericaceae
Empetrum-group,DWAR,Ericaceae
Empetrum-type,DWAR,Ericaceae
Empetrum/Ledum,DWAR,Ericaceae
Emphetrum nigrum,DWAR,Ericaceae
Encalypta,BRYO,delete
Encalyptus,TRSH,Myrtaceae
Engelhardtia,NA,Juglandaceae
Ephedra,TRSH,delete
Ephedra alata-type,TRSH,delete
Ephedra distachya,TRSH,delete
Ephedra distachya t.,TRSH,delete
Ephedra distachya type,TRSH,delete
Ephedra distachya-t.,TRSH,delete
Ephedra distachya-type,TRSH,delete
Ephedra distachya-type (E. distachya-T),NA,delete
Ephedra distahia,TRSH,delete
Ephedra dystachia type,TRSH,delete
Ephedra fragilis,TRSH,delete
Ephedra fragilis  type,TRSH,delete
Ephedra fragilis subsp. campylopoda,TRSH,delete
Ephedra fragilis t.,TRSH,delete
Ephedra fragilis type,TRSH,delete
Ephedra fragilis-type,TRSH,delete
Ephedra fragilisse,TRSH,delete
Ephedra major,TRSH,delete
Ephedra major-type,TRSH,delete
Ephedra-type,HERB,delete
Epilobium,HERB,Onagraceae
Epilobium type,HERB,Onagraceae
Epilobium undiff.,HERB,Onagraceae
Epilobium-Ludwigia,HERB,Onagraceae
Epilobium-type,HERB,Onagraceae
Epipactis palustris,HERB,Orchidaceae
Equesetum,VACR,delete
Equisetaceae,VACR,delete
Equisetum,VACR,delete
Equisetum (Equisetum),NA,delete
Equisitum,VACR,delete
Eremurus,HERB,Asphodelaceae
Erica,TRSH,Ericaceae
Erica,DWAR,Ericaceae
Erica arborea,TRSH,Ericaceae
Erica arborea,DWAR,Ericaceae
Erica arborea-type,DWAR,Ericaceae
Erica arborea-type,TRSH,Ericaceae
Erica australis,DWAR,Ericaceae
Erica australis-type,DWAR,Ericaceae
Erica cinerea,DWAR,Ericaceae
Erica cinerea-type,TRSH,Ericaceae
Erica cinerea/E. tetralix,TRSH,Ericaceae
Erica erigena-type,TRSH,Ericaceae
Erica lusitanica,DWAR,Ericaceae
Erica lusitanica-type,TRSH,Ericaceae
Erica scoparia t.,TRSH,Ericaceae
Erica scoparia-type,DWAR,Ericaceae
Erica tetralix,DWAR,Ericaceae
Erica tetralix type,DWAR,Ericaceae
Erica tetralix-type,DWAR,Ericaceae
Erica type,TRSH,Ericaceae
Erica umbellata,DWAR,Ericaceae
Erica umbellata-type,DWAR,Ericaceae
Erica undiff.,DWAR,Ericaceae
Erica-type,TRSH,Ericaceae
Erica: seed,MACR,Ericaceae
Ericaceae,DWAR,Ericaceae
Ericaceae B,TRSH,Ericaceae
Ericaceae cf. Ledum,TRSH,Ericaceae
Ericaceae empetrum-type,DWAR,Ericaceae
Ericaceae remaniés,INUN,Ericaceae
Ericaceae sensu lato,DWAR,Ericaceae
Ericaceae undiff.,DWAR,Ericaceae
Ericaceae undifferentiated,DWAR,Ericaceae
Ericaceae vaccinium-type,TRSH,Ericaceae
Ericaceae-type,DWAR,Ericaceae
Ericaceae__1,DWAR,Ericaceae
Ericales,DWAR,Ericaceae
Ericales (tetrad),DWAR,Ericaceae
Ericales undiff.,DWAR,Ericaceae
Erigeron,HERB,Asteraceae
Eriophorum angustifolium/E. vaginatum,AQUA,delete
Eriophorum-type,HELO,delete
Eriophorum-type,AQUA,delete
Erodium,HERB,Geraniaceae
Eryngium,HERB,Apiaceae
Eryngium campestre-type,HERB,Apiaceae
Eryngium ilicifolium,HERB,Apiaceae
Eryngium t.,HERB,Apiaceae
Eryngium-type,HERB,Apiaceae
Eucalyptus,TRSH,delete
Eucalyptus,NOPO,delete
Eucalyptus (grains/g of tablet),NOPO,delete
Eucalyptus (spike),NOPO,delete
Eucalyptus count,NOPO,delete
Eucalyptus spike (added),NOPO,delete
Eucalyptus spike (counted),NOPO,delete
Eucalyptus tablets,NOPO,delete
Eucommiaceae,NA,Eucommiaceae
Euglypha,RHIZ,delete
Euonymus,TRSH,Celastraceae
Eupatorium,HERB,Asteraceae
Eupatorium cannabinum T,HERB,Asteraceae
Eupatorium cannabinum-type,HERB,Asteraceae
Eupatorium-type,HERB,Asteraceae
Euphor-eae,HERB,Euphorbiaceae
Euphorbia,HERB,Euphorbiaceae
Euphorbia spp.,NA,Euphorbiaceae
Euphorbia type,HERB,Euphorbiaceae
Euphorbia/Mercurialis,HERB,Euphorbiaceae
Euphorbiaceae,HERB,Euphorbiaceae
Euphorbiaceae (tropical),NA,Euphorbiaceae
Euphorbiaceae (unclear),NA,Euphorbiaceae
Euphorbiaceae undiff.,HERB,Euphorbiaceae
Euphrasia,HERB,Orobanchaceae
Euphrasia-type,HERB,Orobanchaceae
Euptelea,HERB,Eupteleaceae
Eurumex,HERB,delete
Eurya,NA,Pentaphylacaceae
Evax,HERB,Asteraceae
Event label (Event),NA,delete
Exot (Lycopodium) added,NOPO,delete
Exot added,NOPO,delete
Exotic,NOPO,delete
Exotic concentration,NOPO,delete
Exotic counted,NOPO,delete
Exotic grains,NOPO,delete
Exotic marker (Lycopodium) counted,NOPO,delete
Exotics (counted),NOPO,delete
F. excelsior,TRSH,Oleaceae
F. ornus,TRSH,Oleaceae
FABACEAE,HERB,Fabaceae
FAGUS,TRSH,Fagaceae
FILICALES,VACR,delete
FILICALES monol.,VACR,delete
FILICALES tril.,VACR,delete
FILIPENDULA,HERB,Rosaceae
FRAXINUS,TRSH,Oleaceae
FRAXINUS ORNUS t.,TRSH,Oleaceae
FRAXINUS ORNUS type,TRSH,Oleaceae
Fabaceaa,HERB,Fabaceae
Fabaceae,INUN,Fabaceae
Fabaceae,HERB,Fabaceae
Fabaceae (herb),NA,Fabaceae
Fabaceae (shrub),NA,Fabaceae
Fabaceae (tree),NA,Fabaceae
Fabaceae (unclear),NA,Fabaceae
Fabaceae astragalus type,HERB,Fabaceae
Fabaceae cf. Oxitropis,HERB,Fabaceae
Fabaceae coronilla type,HERB,Fabaceae
Fabaceae genista type,TRSH,Fabaceae
Fabaceae indet.,HERB,Fabaceae
Fabaceae lathyrus type,HERB,Fabaceae
Fabaceae lotus type,HERB,Fabaceae
Fabaceae onobrychis type,HERB,Fabaceae
Fabaceae p.p.,HERB,Fabaceae
Fabaceae pro parte,INUN,Fabaceae
Fabaceae subf. Faboideae,HERB,Fabaceae
Fabaceae tribe Psoraleae,HERB,Fabaceae
Fabaceae undif.,HERB,Fabaceae
Fabaceae undiff.,HERB,Fabaceae
Fabaceae undiff.,INUN,Fabaceae
Fabaceae undiff. type,HERB,Fabaceae
Fabaceaeundiff.,HERB,Fabaceae
Fagopirum,HERB,Polygonaceae
Fagopyrum,HERB,Polygonaceae
Fagopyrum esculentum,HERB,Polygonaceae
Fagopyrum esculentum-type,HERB,Polygonaceae
Fagopyrum tataricum,HERB,Polygonaceae
Fagus,TRSH,Fagaceae
Fagus clumps,TRSH,Fagaceae
Fagus clumps of two,TRSH,Fagaceae
Fagus crenata type,TRSH,Fagaceae
Fagus japonica type,TRSH,Fagaceae
Fagus orientalis,TRSH,Fagaceae
Fagus syl,TRSH,Fagaceae
Fagus sylvatica,TRSH,Fagaceae
Falcaria,HERB,Apiaceae
Falcaria vulgaris-type,HERB,Apiaceae
Falcaria-type,HERB,Apiaceae
Fallopia,HERB,Polygonaceae
Fallopia convolvulus,HERB,Polygonaceae
Fallopia convolvulus-type,HERB,Polygonaceae
Farn-Sporangium Bruchstück,VEMI,delete
Fenestrate undifferentiated,HERB,delete
Fenestrate undifferentiated,INUN,delete
Fern sporangia,VEMI,delete
Ferula-type,HERB,Apiaceae
Ficus,TRSH,Moraceae
Ficus carica,TRSH,Moraceae
Filago-type,HERB,Asteraceae
Fili-dula,HERB,Rosaceae
Filicales,VACR,delete
Filicales monoles undiff.,VACR,delete
Filicales monoletae,VACR,delete
Filicales monoletae sporangia,VACR,delete
Filicales monolete,VACR,delete
Filicales monoletes,VACR,delete
Filicales monoletes undiff.,VACR,delete
Filicales trilete,VACR,delete
Filicales triletes,VACR,delete
Filicales triletes undiff.,VACR,delete
Filicales undiff.,VACR,delete
Filicinae,VACR,delete
Filicinae undiff.,VACR,delete
Filicopsida,VACR,delete
Filicopsida monolete undiff.,VACR,delete
Filicopsida trilete undiff.,VACR,delete
Filicopsida undiff.,VACR,delete
Filinia,NOPO,delete
Filinia,ROTI,delete
"Filinia, resting eggs",NA,delete
Filipendula,HERB,Rosaceae
Filipendula ulmaria,HERB,Rosaceae
Filipendula vulgaris,HERB,Rosaceae
Filipendula-type,HERB,Rosaceae
Flacourtiaceae,NA,Salicaceae
Flamula-type,HERB,delete
Fontanesia,TRSH,Oleaceae
Fontanesia/Phillyrea,TRSH,Oleaceae
Foram,INVE,delete
Foraminifera,INVE,delete
Foraminifera,NOPO,delete
Forsythia europea type,TRSH,Oleaceae
Fothergilla major,HERB,Hamamelidaceae
Fragaria,HERB,Rosaceae
Frangula,TRSH,Rhamnaceae
Frangula alnus,TRSH,Rhamnaceae
Frankenia,HERB,Frankeniaceae
Frankenia hirsuta-type,HERB,Frankeniaceae
Fraxinus,TRSH,Oleaceae
Fraxinus angustifolia,TRSH,Oleaceae
Fraxinus angustifolia subsp. oxycarpa,TRSH,Oleaceae
Fraxinus angustifolia-type,TRSH,Oleaceae
Fraxinus cf. F. ornus,TRSH,Oleaceae
Fraxinus cf. F. oxycarpa,TRSH,Oleaceae
Fraxinus exc. type,TRSH,Oleaceae
Fraxinus excelsior,TRSH,Oleaceae
Fraxinus excelsior  type,TRSH,Oleaceae
Fraxinus excelsior type,TRSH,Oleaceae
Fraxinus excelsior-t.,TRSH,Oleaceae
Fraxinus excelsior-type,TRSH,Oleaceae
Fraxinus ornus,TRSH,Oleaceae
Fraxinus ornus type,TRSH,Oleaceae
Fraxinus ornus-type,TRSH,Oleaceae
Fraxinus sogdiana,TRSH,Oleaceae
Fraxinus undiff.,TRSH,Oleaceae
Fraxinusornus,TRSH,Oleaceae
Fritillaria,HERB,Liliaceae
Fritillaria lusitanica,HERB,Liliaceae
Fumana,TRSH,Cistaceae
Fumaria,HERB,Papaveraceae
Fumaria officinalis-type,HERB,Papaveraceae
Fumariaceae,HERB,Papaveraceae
Fungal Hyphae,FUNG,delete
Fungal spore undet.,FUNG,delete
Fungal spores,FUNG,delete
Fungal spores,VACR,delete
Fungi,FUNG,delete
GALIUM,HERB,Rubiaceae
GERANIUM,HERB,Geraniaceae
GEUM,HERB,Rosaceae
GLOMUS,FUNG,delete
GYMNOCARPIUM DRYOPTERIS,VACR,delete
Gaeumannomyces cf. G. caricis,FUNG,delete
Gaeumannomyces cf. caricis,FUNG,delete
Gal._ul-um,HERB,Rubiaceae
Galega-type,HERB,Fabaceae
Galeopsis,HERB,Lamiaceae
Galeopsis t.,HERB,Lamiaceae
Galeopsis-type,HERB,Lamiaceae
Galeopsis/Ballota-type,HERB,Lamiaceae
Galium,HERB,Rubiaceae
Galium typ,HERB,Rubiaceae
Galium type,HERB,Rubiaceae
Galium- type,HERB,Rubiaceae
Galium-type,HERB,Rubiaceae
Galium-type (Galium-T),NA,Rubiaceae
Gallium,HERB,Rubiaceae
Gallium type,HERB,Rubiaceae
Garcinia,NA,Clusiaceae
Gastrop. Mandible,INUN,delete
Gelasinospora,FUNG,delete
"Gelasinospora, spore (Gelasinospora spore)",NA,delete
Genista,TRSH,Fabaceae
Genista t.,TRSH,Fabaceae
Genista-type,TRSH,Fabaceae
Genista/Cytisus,HERB,Fabaceae
Genista/Cytisus-type,TRSH,Fabaceae
Genista/Ulex,TRSH,Fabaceae
Genista/Ulex-type,TRSH,Fabaceae
Genisteae,TRSH,Fabaceae
Gentiana,HERB,Gentianaceae
Gentiana indet.,HERB,Gentianaceae
Gentiana lutea/G. pneumonanthe,HERB,Gentianaceae
Gentiana nivalis-type,HERB,Gentianaceae
Gentiana pneumonanthe,HERB,Gentianaceae
Gentiana pneumonanthe t.,HERB,Gentianaceae
Gentiana pneumonanthe type,HERB,Gentianaceae
Gentiana pneumonanthe-type,HERB,Gentianaceae
Gentiana pneumonanthe-type (G. pneumonanthe-T),NA,Gentianaceae
Gentiana purpurea,HERB,Gentianaceae
Gentiana purpurea-type,HERB,Gentianaceae
Gentiana verna-type,HERB,Gentianaceae
Gentiana-type,NA,Gentianaceae
Gentianaceae,HERB,Gentianaceae
Gentianella,HERB,Gentianaceae
Gentianella campestris-type,HERB,Gentianaceae
Gentianella germanica typt,HERB,Gentianaceae
Gentianella germanica-type,HERB,Gentianaceae
Gentianella tenella-type,HERB,Gentianaceae
Gentianella tenella-type (G. tenella-T),NA,Gentianaceae
Gentinaceae,HERB,Gentianaceae
Geran-eae,HERB,Geraniaceae
Geraniaceae,HERB,Geraniaceae
Geraniaceae undiff.,HERB,Geraniaceae
Geranium,HERB,Geraniaceae
Geranium sylvaticum-type,HERB,Geraniaceae
Geranium t.,HERB,Geraniaceae
Geranium-type,HERB,Geraniaceae
Gerianiaceae,HERB,Geraniaceae
Gesneriaceae,NA,Gesneriaceae
Geum,HERB,Rosaceae
Geum T,HERB,Rosaceae
Geum cf. G. rivale,HERB,Rosaceae
Geum typ,HERB,Rosaceae
Geum type,HERB,Rosaceae
Geum-type,HERB,Rosaceae
Geum/Potentilla-type,NA,Rosaceae
Geumannomyces,FUNG,delete
Ginkgo,NA,delete
Gipsofilla,HERB,Caryophyllaceae
Gladiolus,HERB,Iridaceae
Glaucium,HERB,Papaveraceae
Glaucium type,HERB,Papaveraceae
Glaucium-type,HERB,Papaveraceae
Glaux,HERB,Primulaceae
Glaux (Glaux),NA,Primulaceae
Globose,INUN,delete
Globularia,HERB,Plantaginaceae
Gloeotrichia,CYAN,delete
Glomus,FUNG,delete
Glomus cf. G. fasciculatum,FUNG,delete
Glomus cf. fasciculatum,FUNG,delete
Glyceria maxima,HERB,Poaceae
Glyceria-type,HERB,Poaceae
Gnaphalium,HERB,Asteraceae
Gnaphalium-type,HERB,Asteraceae
Goniolimon,HERB,Plumbaginaceae
Grains indéterm,INUN,delete
Graminae,HERB,Poaceae
Gramine.,HERB,Poaceae
Gramineae,HERB,Poaceae
Gramineae 40-49 _m,HERB,Poaceae
Gramineae 40-50 _m,HERB,Poaceae
Gramineae 50-60 _m,HERB,Poaceae
Gramineae <40 _m,HERB,Poaceae
Gramineae >42µm,HERB,Poaceae
Gramineae >50 _m,HERB,Poaceae
Gramineae >60 _m,HERB,Poaceae
Gramineae G,HERB,Poaceae
Gramineae P,HERB,Poaceae
Gramineae undiff.,HERB,Poaceae
Gramineae wild grass-group,HERB,Poaceae
Gramineae wild-grass-group,HERB,Poaceae
Gramineae(<40),HERB,Poaceae
Gramineae(>40),HERB,Poaceae
Grammitis,VACR,delete
Granuli nd,INUN,delete
Grass epidermis fragments,NA,delete
Grass epidermis fragments (Grass epid fragm),NA,delete
"Grass epidermis fragments, charred",NA,delete
"Grass epidermis fragments, charred (Grass epid fragm char)",NA,delete
Gratiola officinalis,HERB,Plantaginaceae
Grewia,NA,Malvaceae
Guttiferae,TRSH,Clusiaceae
Guttiferae,HERB,Clusiaceae
Gymnocarpium,VACR,delete
Gymnocarpium dryopteris,VACR,delete
Gymnocarpium dryopteris type,VACR,delete
Gymnocarpium/Dryopteris,VACR,delete
Gypsophila,HERB,Caryophyllaceae
Gypsophila fastigiata,HERB,Caryophyllaceae
Gypsophila repens-type,HERB,Caryophyllaceae
Gypsophila-type,HERB,Caryophyllaceae
Gypsophilla repens,HERB,Caryophyllaceae
Gyratrix hermaphroditus,PLAT,delete
Gyratrix hermaphroditus 1A,PLAT,delete
HEDERA,TRSH,Araliaceae
HYMENOPHYLLUM,VACR,delete
Habrotrocha,ROTI,delete
Hainania,NA,Malvaceae
Halimium,DWAR,Cistaceae
Halimium-type,DWAR,Cistaceae
Halimium/Tuberaria,HERB,Cistaceae
Halophytes,INUN,delete
Haloragaceae,UPHE,Haloragaceae
Haloragaceae,AQUA,Haloragaceae
Haloragidaceae,NA,Haloragaceae
Hamamelidaceae,NA,Hamamelidaceae
Hamamelis/Parrotiopsis-type,NA,Hamamelidaceae
Haplophyllum,HERB,Rutaceae
Haplophyllum,TRSH,Rutaceae
HdV 112,INUN,delete
HdV 114,INUN,delete
HdV 126 G,INUN,delete
HdV 126 Gaeumannomyces,FUNG,delete
HdV 126 Gaeumannomyces sp.,FUNG,delete
HdV 128,INUN,delete
HdV 128A,INUN,delete
HdV 128B,INUN,delete
HdV 130 G,INUN,delete
HdV 130 Spirogyra smooth,ALGA,delete
HdV 142,INUN,delete
HdV 146 Gloeotrichia,INUN,delete
HdV 170 Rivularia,ALGA,delete
HdV 179,INUN,delete
HdV 200,FUNG,delete
HdV 207 Glomus cf. fasciculatum,INUN,delete
HdV 229,INUN,delete
HdV 28,FUNG,delete
HdV 30 Helicoon pluriseptatum,FUNG,delete
HdV 313D Mougeotia concave,INUN,delete
HdV 359,INUN,delete
HdV 361,INUN,delete
HdV 361 clumps,INUN,delete
"HdV 369 ""Lemna""",INUN,delete
HdV 37,FUNG,delete
HdV 44 Ustulina deusta,INUN,delete
HdV 569,INUN,delete
HdV 569 clumps,INUN,delete
HdV 8,FUNG,delete
HdV 8B,INUN,delete
HdV 8B,FUNG,delete
HdV 8b,INUN,delete
Hedera,LIAN,Araliaceae
Hedera,TRSH,Araliaceae
Hedera helix,LIAN,Araliaceae
Hedera helix,TRSH,Araliaceae
Hedera helix type,TRSH,Araliaceae
Hedera spp.,NA,Araliaceae
Hedera-type,LIAN,Araliaceae
Hedera-type,TRSH,Araliaceae
Hederahelix,TRSH,Araliaceae
Hedwigia,BRYO,delete
Hedysarum,HERB,Fabaceae
Hedysarum hedysaroides,HERB,Fabaceae
Hedysarum-type,HERB,Fabaceae
Hedysarum/Ebenus,HERB,Fabaceae
Helianthemum,TRSH,Cistaceae
Helianthemum,HERB,Cistaceae
Helianthemum croceum type,HERB,Cistaceae
Helianthemum croceum-type,HERB,Cistaceae
Helianthemum nummularium group,HERB,Cistaceae
Helianthemum nummularium-type,HERB,Cistaceae
Helianthemum salicifolium-type,HERB,Cistaceae
Helianthemum t.,HERB,Cistaceae
Helianthemum type,HERB,Cistaceae
Helianthemum undiff.,HERB,Cistaceae
Helianthemum-type,HERB,Cistaceae
Helianthetum,HERB,Cistaceae
Helianthus,HERB,Asteraceae
Helianthus-type,HERB,Asteraceae
Helicoma,FUNG,delete
Helicoon klein,FUNG,delete
Helicoon pluriseptatum,FUNG,delete
Heliotropium,HERB,Boraginaceae
Heliotropium-type,HERB,Boraginaceae
Helleborus,HERB,Ranunculaceae
Helleborus foetidus,HERB,Ranunculaceae
Helleborus niger,HERB,Ranunculaceae
Helleborus undiff.,HERB,Ranunculaceae
Helleborus viridis,HERB,Ranunculaceae
Helleborus viridis-type,HERB,Ranunculaceae
Helleborus viriolist,HERB,Ranunculaceae
Helleborus-type,HERB,Ranunculaceae
Hepatica,HERB,Ranunculaceae
Hepaticae,BRYO,delete
Hepaticae undiff.,BRYO,delete
Hepaticeae,BRYO,delete
Heracleum,HERB,Apiaceae
Heracleum sphondyleum,HERB,Apiaceae
Heracleum sphondylium,HERB,Apiaceae
Heracleum type,HERB,Apiaceae
Heracleum-type,HERB,Apiaceae
Herbs,UPHE,delete
Herbs,INUN,delete
Herbs undiff.,INUN,delete
Herniaria,HERB,Caryophyllaceae
Herniaria glabra,HERB,Caryophyllaceae
Herniaria-type,HERB,Caryophyllaceae
Herniaria/Paronychia,HERB,Caryophyllaceae
Hexarthra,ROTI,delete
Hibiscus,TRSH,Malvaceae
Hicriopteris,NA,delete
Hieracium,HERB,Asteraceae
Hieracium-type,HERB,Asteraceae
Hipericum type,HERB,Asteraceae
Hiphae,FUNG,delete
Hipp._v.,AQUA,delete
Hippocrepis comosa,HERB,Fabaceae
Hippocrepis-type,HERB,Fabaceae
Hippophae,TRSH,Elaeagnaceae
Hippophae (Hippophae),NA,Elaeagnaceae
Hippophae rhamn.,TRSH,Elaeagnaceae
Hippophae rhamnoides,TRSH,Elaeagnaceae
Hippophae spp.,NA,Elaeagnaceae
Hippophaë rhamnoides,TRSH,Elaeagnaceae
Hippuris vulgaris,AQUA,delete
Histiopteris-type,NA,delete
Histiopteris-type (Histiopteris-T),NA,delete
Holzkohlepartikel,CHAR,delete
Homogyne,HERB,Asteraceae
Homogyne alpina,HERB,Asteraceae
Hordeum,HERB,Poaceae
Hordeum T,HERB,Poaceae
Hordeum group,HERB,Poaceae
Hordeum typ,HERB,Poaceae
Hordeum type,HERB,Poaceae
Hordeum-group,HERB,Poaceae
Hordeum-type,HERB,Poaceae
Hordeum-type (Hordeum-T),NA,Poaceae
Hornungia,HERB,Brassicaceae
Hornungia type,HERB,Brassicaceae
Hornungia-type,HERB,Brassicaceae
Hot._pal.,HERB,delete
Hottonia,HERB,delete
Hottonia palustris,AQUA,delete
Hottonia palustris-type,AQUA,delete
Hottonia-type,HERB,delete
Humulus,HERB,Cannabaceae
Humulus lupulus,HERB,Cannabaceae
Humulus lupulus cf.,HERB,Cannabaceae
Humulus lupulus type,HERB,Cannabaceae
Humulus lupulus-type,HERB,Cannabaceae
Humulus lupulus/Cannabis,HERB,Cannabaceae
Humulus typ,HERB,Cannabaceae
Humulus-type,HERB,Cannabaceae
Humulus/Cannabis,HERB,Cannabaceae
Humulus/Cannabis sativa,UPHE,Cannabaceae
Humulus/Cannabis-type,HERB,Cannabaceae
Hupertia,VACR,delete
Huperzia,VACR,delete
Huperzia appressum,VACR,delete
Huperzia selago,VACR,delete
Huperzia selago-type,VACR,delete
Hyalosphenia sp.,RHIZ,delete
Hyalosphenia subflava,RHIZ,delete
Hyd-eae,AQUA,delete
Hyd._m.-r.,AQUA,delete
Hydrangea,TRSH,Hydrangeaceae
Hydrocharis,AQUA,delete
Hydrocharis morsus-ranae,AQUA,delete
Hydrocharitaceae,AQUA,delete
Hydrocotyle,HERB,Araliaceae
Hydrocotyle vulgaris,HERB,Araliaceae
Hymenophyllum,VACR,delete
Hymenophyllum tunbrigense,VACR,delete
Hymenophyllum wilsonii,VACR,delete
Hyoscyamus,HERB,Solanaceae
Hyoscyamus t.,HERB,Solanaceae
Hypecoum,HERB,Papaveraceae
Hypericaceae,HERB,Hypericaceae
Hypericum,HERB,Hypericaceae
Hypericum perforatum,NA,Hypericaceae
Hypericum perforatum T,HERB,Hypericaceae
Hypericum perforatum type,HERB,Hypericaceae
Hypericum perforatum-type,HERB,Hypericaceae
Hypericum perforatume-type,HERB,Hypericaceae
Hypericum pulchrum-type,HERB,Hypericaceae
Hypericum type,HERB,Hypericaceae
Hypericum undifferentiated,HERB,Hypericaceae
Hypericum-type,HERB,Hypericaceae
Hyphopodium,FUNG,delete
Hystrix,HERB,Poaceae
ILEX aquifolium,TRSH,Aquifoliaceae
ISOETES,AQPT,delete
Icacinaceae,NA,Icacinaceae
Ideterminable grains,INUN,delete
Ilex,TRSH,Aquifoliaceae
Ilex aquifolium,TRSH,Aquifoliaceae
Ilex type,TRSH,Aquifoliaceae
Ilex-type,TRSH,Aquifoliaceae
Illecebrum,HERB,Caryophyllaceae
Illecebrum verticillatum,HERB,Caryophyllaceae
Impagidinium,DINO,delete
Impatiens,HERB,Balsaminaceae
Impatiens t.,HERB,Balsaminaceae
"Inaperturate,echinate grain",INUN,delete
Incertae sedis 5b,INUN,delete
Incertae sedis 5d,INUN,delete
Indet.,INUN,delete
Indet. clumps,INUN,delete
Indet: broken,INUN,delete
Indet: concealed,INUN,delete
Indeterm,INUN,delete
Indetermin,INUN,delete
Indeterminable,INUN,delete
Indeterminable grains,INUN,delete
Indeterminable: broken,INUN,delete
Indeterminable: concealed,INUN,delete
Indeterminable: corroded,INUN,delete
Indeterminable: crumpled,INUN,delete
Indeterminable: degraded,INUN,delete
Indeterminable: deteriorated,INUN,delete
Indeterminable: hidden,INUN,delete
Indeterminable: undiff.,INUN,delete
Indeterminable: unidentified,INUN,delete
Indeterminable: unknown,INUN,delete
Indeterminata,INUN,delete
Indeterminata (Indet),NA,delete
Indeterminate,INUN,delete
Indeterminated,INUN,delete
Indetermines,INUN,delete
Indiff.,INUN,delete
Indéterminables,INUN,delete
Indéterminés,INUN,delete
Inula,HERB,Asteraceae
Inula-type,HERB,Asteraceae
Iridaceae,HERB,Iridaceae
Iridaceae/Amaryllidaceae,HERB,Iridaceae
Iris,HERB,Iridaceae
Iris humilis,HERB,Iridaceae
Iris pseudacorus,HERB,Iridaceae
Iris pseudacorus-type,HERB,Iridaceae
Iris-type,HERB,Iridaceae
Isoete spore(s),AQPT,delete
Isoetes,AQPT,delete
Isoetes cf.,INUN,delete
Isoetes echinospora,AQPT,delete
Isoetes histrix,AQUA,delete
Isoetes lacustris,AQPT,delete
Isoetes setacea,AQPT,delete
Isoetes undiff.,AQPT,delete
Isoëtes,AQVP,delete
JUGLANS,TRSH,Juglandaceae
JUNIPERUS,TRSH,delete
Jasione,HERB,Campanulaceae
Jasione montana,HERB,Campanulaceae
Jasione typ,HERB,Campanulaceae
